rank_director;director;box_office_director;movies_director;average_director
211;Will Gluck;880,616,831;7;125,802,404
212;Michael Thurmeier;879,765,137;1;879,765,137
213;Nora Ephron;877,804,290;7;125,400,613
214;Peter Weir;875,761,670;12;72,980,139
215;Alejandro Gonzalez Inarritu;873,238,918;6;145,539,820
216;Vicky Jenson;870,117,319;4;217,529,330
217;David O. Russell;870,098,944;11;79,099,904
218;Guo Fan;868,714,058;2;434,357,029
219;Seth MacFarlane;860,009,327;3;286,669,776
220;Andres Muschietti;849,178,608;3;283,059,536
221;Chuck Russell;845,744,729;8;105,718,091
222;Jia Ling;841,674,419;1;841,674,419
223;John Badham;825,101,546;14;58,935,825
224;Nicholas Stoller;823,149,536;8;102,893,692
225;David F. Sandberg;817,855,908;6;136,309,318
226;Espen Sandberg;816,707,786;4;204,176,947
227;Don Hall;815,342,998;4;203,835,750
228;David Frankel;811,996,231;10;81,199,623
229;Len Wiseman;803,270,454;5;160,654,091
230;Darren Aronofsky;800,792,510;9;88,976,946
231;Kevin Reynolds;799,973,995;8;99,996,749
232;Cary Joji Fukunaga;794,914,293;4;198,728,573
233;Robert Luketic;792,426,955;8;99,053,369
234;David Slade;786,378,984;3;262,126,328
235;Frank Oz;780,044,005;13;60,003,385
236;Tim Hill;777,722,164;8;97,215,271
237;Brenda Chapman;774,966,580;4;193,741,645
238;Brad Silberling;770,469,822;8;96,308,728
239;Robert Stromberg;758,536,735;1;758,536,735
240;Cameron Crowe;757,465,846;9;84,162,872
241;Roger Donaldson;755,985,566;18;41,999,198
242;Alex Proyas;752,288,625;6;125,381,438
243;Dan Scanlon;743,455,810;1;743,455,810
244;Yang Yu;742,711,251;1;742,711,251
245;Malcolm D. Lee;742,612,948;13;57,124,073
246;John G. Avildsen;741,398,623;15;49,426,575
247;Joe Wright;739,526,052;10;73,952,605
248;Lee Tamahori;736,483,955;10;73,648,396
249;Mark Osborne;733,939,450;3;244,646,483
250;Seth Gordon;732,745,505;5;146,549,101
251;Jonathan Mostow;730,584,420;7;104,369,203
252;Irvin Kershner;727,901,242;3;242,633,747
253;Raman Hui;720,979,406;2;360,489,703
254;John Stevenson;719,438,182;3;239,812,727
255;William Friedkin;719,295,452;18;39,960,858
256;Steve Carr;716,323,487;9;79,591,499
257;Phyllida Lloyd;714,884,490;3;238,294,830
258;Timur Bekmambetov;712,398,653;9;79,155,406
259;Curtis Hanson;711,185,778;11;64,653,253
260;Yibai Zhang;710,904,617;5;142,180,923
261;Chris Wedge;710,553,582;3;236,851,194
262;Michael Patrick King;709,928,036;3;236,642,679
263;Jonathan Demme;706,658,824;23;30,724,297
264;Jeff Fowler;705,851,647;2;352,925,824
265;David Zucker;704,691,359;10;70,469,136
266;Sean Anders;701,873,398;7;100,267,628
267;Judd Apatow;701,199,543;9;77,911,060
268;Jason Reitman;700,456,177;10;70,045,618
269;John Singleton;686,271,634;9;76,252,404
270;Peter Ramsey;682,417,606;2;341,208,803
271;Alan J. Pakula;676,146,327;13;52,011,256
272;Keenen Ivory Wayans;673,822,088;6;112,303,681
273;Anne Fletcher;673,312,063;7;96,187,438
274;Roger Spottiswoode;672,418,446;13;51,724,496
275;Wong Jing;664,269,954;11;60,388,178
276;Stephen Herek;661,713,517;18;36,761,862
277;Donald Petrie;650,245,188;13;50,018,861
278;John Madden;649,030,724;13;49,925,440
279;Andrew Lau;639,501,984;5;127,900,397
280;James Bobin;637,809,443;5;127,561,889
281;Walt Becker;637,418,966;5;127,483,793
282;Taylor Hackford;632,738,278;15;42,182,552
283;John Krasinski;632,717,506;6;105,452,918
284;Andy Fickman;629,349,117;10;62,934,912
285;David Dobkin;623,700,070;7;89,100,010
286;Xue Xiaolu;621,474,766;3;207,158,255
287;Ben Stiller;618,041,759;8;77,255,220
288;James L. Brooks;604,048,590;6;100,674,765
289;Neill Blomkamp;603,857,577;5;120,771,515
290;Jordan Peele;596,223,927;3;198,741,309
291;Harold Ramis;595,733,928;11;54,157,630
