duration	nudity	violence	profanity	alcohol	frightening	budget	worldwide_gross	is_Action	is_Adult	is_Adventure	is_Animation	is_Biography	is_Comedy	is_Crime	is_Drama	is_Family	is_Fantasy	is_Film-Noir	is_Horror	is_History	is_Music	is_Mystery	is_Romance	is_Sci-Fi	is_Sport	is_Thriller	is_War	is_Western	total_star_score
115	Mild	Moderate	Mild	Mild	Moderate	18000000	389925971	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2299
92	None	Mild	None	None	Mild	90000000	497375381	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1313
165	Mild	Moderate	Moderate	Moderate	Moderate	210000000	1104054072	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2196
117	None	None	None	None	Mild	120000000	461991867	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2198
101	Moderate	Mild	Moderate	Mild	None	81000000	484592874	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1732
113	None	Mild	Moderate	None	Moderate	92000000	494580615	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3187
95	Mild	None	Mild	Mild	None	5000000	368744044	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4000
97	None	Moderate	None	None	Mild	180000000	758411779	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2896
136	Mild	Moderate	Mild	Mild	Moderate	250000000	1045713802	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1440
130	Mild	Moderate	Moderate	Mild	Moderate	160000000	788680968	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462
105	Mild	Mild	Mild	Mild	Mild	30000000	296578797	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1797
93	Mild	Mild	Mild	Mild	Mild	165000000	752600867	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	796
93	Mild	Mild	None	None	Moderate	185000000	538983207	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1297
130	None	Mild	None	None	Moderate	215000000	493311825	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2200
105	Mild	Moderate	Severe	Mild	Mild	13000000	316360478	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3137
104	Mild	Moderate	Moderate	Mild	Moderate	210000000	460435291	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1112
116	None	Moderate	Moderate	None	Moderate	132000000	603873119	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1884
132	None	Moderate	None	Mild	Moderate	180000000	814044001	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3382
